Region,Characteristic,Value (metric tons CO2e/year),Updated?,Year
California,Household Size,2.9,Y,2018
Canada,Household Size,2.6,Y,2018
Colorado,Household Size,2.5,Y,2018
Connecticut,Household Size,2.6,Y,2018
Delaware,Household Size,2.2,Y,2018
District of Columbia,Household Size,2.2,Y,2018
Florida,Household Size,2.6,Y,2018
Georgia,Household Size,2.6,Y,2018
Hawaii,Household Size,2.6,Y,2018
Idaho,Household Size,2.6,Y,2018
Illinois,Household Size,2.6,Y,2018
Indiana,Household Size,2.6,Y,2018
Iowa,Household Size,2.6,Y,2018
Kansas,Household Size,2.6,Y,2018
Kentucky,Household Size,2.6,Y,2018
Louisiana,Household Size,2.6,Y,2018
Maine,Household Size,2.3,Y,2018
Maryland,Household Size,2.7,Y,2018
Massachusetts,Household Size,2.5,Y,2018
Michigan,Household Size,2.6,Y,2018
Minnesota,Household Size,2.5,Y,2018
Mississippi,Household Size,2.6,Y,2018
Missouri,Household Size,2.6,Y,2018
Montana,Household Size,2.6,Y,2018
Nebraska,Household Size,2.6,Y,2018
Nevada,Household Size,2.6,Y,2018
New Hampshire,Household Size,2.5,Y,2018
New Jersey,Household Size,2.7,Y,2018
New Mexico,Household Size,2.6,Y,2018
New York,Household Size,2.6,Y,2018
North Carolina,Household Size,2.5,Y,2018
North Dakota,Household Size,2.6,Y,2018
Ohio,Household Size,2.5,Y,2018
Oklahoma,Household Size,2.6,Y,2018
Ontario,Household Size,2.6,Y,2018
Oregon,Household Size,2.6,Y,2018
Pennsylvania,Household Size,2.5,Y,2018
Rhode Island,Household Size,2.6,Y,2018
South Carolina,Household Size,2.6,Y,2018
South Dakota,Household Size,2.6,Y,2018
Tennessee,Household Size,2.6,Y,2018
Texas,Household Size,2.8,Y,2018
Utah,Household Size,2.6,Y,2018
Vermont,Household Size,2.3,Y,2018
Virginia,Household Size,2.6,Y,2018
Washington,Household Size,2.6,Y,2018
West Virginia,Household Size,2.6,Y,2018
Wisconsin,Household Size,2.6,Y,2018
Wyoming,Household Size,2.6,Y,2018
Canada - All,Household Size,2.50000000000,Y,2018
United States of America,Household Size,2.50000000000,Y,2018
Alabama,Housing Total,2.56624759308,Y,2018
Alaska,Housing Total,2.56559229445,Y,2018
Arizona,Housing Total,2.56593540518,Y,2018
Arkansas,Housing Total,2.56602269592,Y,2018
California,Housing Total,2.04869131807,Y,2018
Canada,Housing Total,2.56546854544,Y,2018
Colorado,Housing Total,4.23448691097,Y,2018
Connecticut,Housing Total,2.56580839560,Y,2018
Delaware,Housing Total,2.85067754974,Y,2018
District of Columbia,Housing Total,2.85067754974,Y,2018
Florida,Housing Total,0.16971185902,Y,2018
Georgia,Housing Total,2.56624759308,Y,2018
Hawaii,Housing Total,2.56600454508,Y,2018
Idaho,Housing Total,2.56568721713,Y,2018
Illinois,Housing Total,5.51720300403,Y,2018
Indiana,Housing Total,2.56664772007,Y,2018
Iowa,Housing Total,2.56664327880,Y,2018
Kansas,Housing Total,2.56683509416,Y,2018
Kentucky,Housing Total,2.56633429148,Y,2018
Louisiana,Housing Total,2.56602269592,Y,2018
Maine,Housing Total,4.44628449557,Y,2018
Maryland,Housing Total,2.94234604769,Y,2018
Massachusetts,Housing Total,5.41585564190,Y,2018
Michigan,Housing Total,2.56667782321,Y,2018
Minnesota,Housing Total,4.45710745092,Y,2018
Mississippi,Housing Total,2.56633429148,Y,2018
Missouri,Housing Total,2.56705495559,Y,2018
Montana,Housing Total,2.56568721713,Y,2018
Nebraska,Housing Total,2.56664327880,Y,2018
Nevada,Housing Total,2.56568721713,Y,2018
New Hampshire,Housing Total,3.81492600525,Y,2018
New Jersey,Housing Total,4.58072248926,Y,2018
New Mexico,Housing Total,2.56593540518,Y,2018
New York,Housing Total,4.45937557349,Y,2018
North Carolina,Housing Total,1.42092777021,Y,2018
North Dakota,Housing Total,2.56664327880,Y,2018
Ohio,Housing Total,3.85137373272,Y,2018
Oklahoma,Housing Total,2.56638960583,Y,2018
Ontario,Housing Total,2.56546854544,Y,2018
Oregon,Housing Total,2.56568721713,Y,2018
Pennsylvania,Housing Total,4.01623269192,Y,2018
Rhode Island,Housing Total,2.56580839560,Y,2018
South Carolina,Housing Total,2.56599422705,Y,2018
South Dakota,Housing Total,2.56664327880,Y,2018
Tennessee,Housing Total,2.56633429148,Y,2018
Texas,Housing Total,1.24485598896,Y,2018
Utah,Housing Total,2.56568721713,Y,2018
Vermont,Housing Total,4.33053440826,Y,2018
Virginia,Housing Total,2.56599422705,Y,2018
Washington,Housing Total,2.56568721713,Y,2018
West Virginia,Housing Total,2.56638659732,Y,2018
Wisconsin,Housing Total,2.56711733641,Y,2018
Wyoming,Housing Total,2.56614203488,Y,2018
Canada - All,Housing Total,8.95213662391,Y,2018
United States of America,Housing Total,8.95213662391,Y,2018
Alabama,Long Distance travel,1.10000000000,Y,2018
Alaska,Long Distance travel,1.10000000000,Y,2018
Arizona,Long Distance travel,1.10000000000,Y,2018
Arkansas,Long Distance travel,1.10000000000,Y,2018
California,Long Distance travel,1.50000000000,Y,2018
Canada,Long Distance travel,1.10000000000,Y,2018
Colorado,Long Distance travel,1.50000000000,Y,2018
Connecticut,Long Distance travel,1.10000000000,Y,2018
Delaware,Long Distance travel,1.10000000000,Y,2018
District of Columbia,Long Distance travel,1.10000000000,Y,2018
Florida,Long Distance travel,1.50000000000,Y,2018
Georgia,Long Distance travel,1.10000000000,Y,2018
Hawaii,Long Distance travel,1.10000000000,Y,2018
Idaho,Long Distance travel,1.10000000000,Y,2018
Illinois,Long Distance travel,1.50000000000,Y,2018
Indiana,Long Distance travel,1.10000000000,Y,2018
Iowa,Long Distance travel,1.10000000000,Y,2018
Kansas,Long Distance travel,1.10000000000,Y,2018
Kentucky,Long Distance travel,1.10000000000,Y,2018
Louisiana,Long Distance travel,1.10000000000,Y,2018
Maine,Long Distance travel,1.50000000000,Y,2018
Maryland,Long Distance travel,1.50000000000,Y,2018
Massachusetts,Long Distance travel,1.50000000000,Y,2018
Michigan,Long Distance travel,1.10000000000,Y,2018
Minnesota,Long Distance travel,1.50000000000,Y,2018
Mississippi,Long Distance travel,1.10000000000,Y,2018
Missouri,Long Distance travel,1.10000000000,Y,2018
Montana,Long Distance travel,1.10000000000,Y,2018
Nebraska,Long Distance travel,1.10000000000,Y,2018
Nevada,Long Distance travel,1.10000000000,Y,2018
New Hampshire,Long Distance travel,1.50000000000,Y,2018
New Jersey,Long Distance travel,1.50000000000,Y,2018
New Mexico,Long Distance travel,1.10000000000,Y,2018
New York,Long Distance travel,1.50000000000,Y,2018
North Carolina,Long Distance travel,1.50000000000,Y,2018
North Dakota,Long Distance travel,1.10000000000,Y,2018
Ohio,Long Distance travel,1.10000000000,Y,2018
Oklahoma,Long Distance travel,1.10000000000,Y,2018
Ontario,Long Distance travel,1.10000000000,Y,2018
Oregon,Long Distance travel,1.10000000000,Y,2018
Pennsylvania,Long Distance travel,1.50000000000,Y,2018
Rhode Island,Long Distance travel,1.10000000000,Y,2018
South Carolina,Long Distance travel,1.10000000000,Y,2018
South Dakota,Long Distance travel,1.10000000000,Y,2018
Tennessee,Long Distance travel,1.10000000000,Y,2018
Texas,Long Distance travel,1.50000000000,Y,2018
Utah,Long Distance travel,1.10000000000,Y,2018
Vermont,Long Distance travel,1.10000000000,Y,2018
Virginia,Long Distance travel,1.10000000000,Y,2018
Washington,Long Distance travel,1.10000000000,Y,2018
West Virginia,Long Distance travel,1.10000000000,Y,2018
Wisconsin,Long Distance travel,1.10000000000,Y,2018
Wyoming,Long Distance travel,1.10000000000,Y,2018
Canada - All,Long Distance travel,1.10000000000,Y,2018
United States of America,Long Distance travel,1.10000000000,Y,2018
Alabama,Other Fuels,2.56527398734,Y,2018
Alaska,Other Fuels,2.56527398734,Y,2018
Arizona,Other Fuels,2.56527398734,Y,2018
Arkansas,Other Fuels,2.56527398734,Y,2018
California,Other Fuels,2.04835722655,Y,2018
Canada,Other Fuels,2.56527398734,Y,2018
Colorado,Other Fuels,4.23361886342,Y,2018
Connecticut,Other Fuels,2.56527398734,Y,2018
Delaware,Other Fuels,2.85000000000,Y,2018
District of Columbia,Other Fuels,2.85000000000,Y,2018
Florida,Other Fuels,0.16880827949,Y,2018
Georgia,Other Fuels,2.56527398734,Y,2018
Hawaii,Other Fuels,2.56527398734,Y,2018
Idaho,Other Fuels,2.56527398734,Y,2018
Illinois,Other Fuels,5.51582927130,Y,2018
Indiana,Other Fuels,2.56527398734,Y,2018
Iowa,Other Fuels,2.56527398734,Y,2018
Kansas,Other Fuels,2.56527398734,Y,2018
Kentucky,Other Fuels,2.56527398734,Y,2018
Louisiana,Other Fuels,2.56527398734,Y,2018
Maine,Other Fuels,4.44575008731,Y,2018
Maryland,Other Fuels,2.94166849795,Y,2018
Massachusetts,Other Fuels,5.41532123365,Y,2018
Michigan,Other Fuels,2.56527398734,Y,2018
Minnesota,Other Fuels,4.45573815947,Y,2018
Mississippi,Other Fuels,2.56527398734,Y,2018
Missouri,Other Fuels,2.56527398734,Y,2018
Montana,Other Fuels,2.56527398734,Y,2018
Nebraska,Other Fuels,2.56527398734,Y,2018
Nevada,Other Fuels,2.56527398734,Y,2018
New Hampshire,Other Fuels,3.81439159700,Y,2018
New Jersey,Other Fuels,4.58000000000,Y,2018
New Mexico,Other Fuels,2.56527398734,Y,2018
New York,Other Fuels,4.45909501809,Y,2018
North Carolina,Other Fuels,1.42020753050,Y,2018
North Dakota,Other Fuels,2.56527398734,Y,2018
Ohio,Other Fuels,3.85000000000,Y,2018
Oklahoma,Other Fuels,2.56527398734,Y,2018
Ontario,Other Fuels,2.56527398734,Y,2018
Oregon,Other Fuels,2.56527398734,Y,2018
Pennsylvania,Other Fuels,4.01551020266,Y,2018
Rhode Island,Other Fuels,2.56527398734,Y,2018
South Carolina,Other Fuels,2.56527398734,Y,2018
South Dakota,Other Fuels,2.56527398734,Y,2018
Tennessee,Other Fuels,2.56527398734,Y,2018
Texas,Other Fuels,1.24395443377,Y,2018
Utah,Other Fuels,2.56527398734,Y,2018
Vermont,Other Fuels,4.33000000000,Y,2018
Virginia,Other Fuels,2.56527398734,Y,2018
Washington,Other Fuels,2.56527398734,Y,2018
West Virginia,Other Fuels,2.56527398734,Y,2018
Wisconsin,Other Fuels,2.56527398734,Y,2018
Wyoming,Other Fuels,2.56527398734,Y,2018
Canada - All,Other Fuels,4.23361886342,Y,2018
United States of America,Other Fuels,4.23361886342,Y,2018
Alabama,Personal Vehicles (Commuting),17.47830000000,Y,2018
Alaska,Personal Vehicles (Commuting),17.47830000000,Y,2018
Arizona,Personal Vehicles (Commuting),17.47830000000,Y,2018
Arkansas,Personal Vehicles (Commuting),17.47830000000,Y,2018
California,Personal Vehicles (Commuting),17.32555897539,Y,2018
Canada,Personal Vehicles (Commuting),17.47830000000,Y,2018
Colorado,Personal Vehicles (Commuting),15.24464430879,Y,2018
Connecticut,Personal Vehicles (Commuting),17.47830000000,Y,2018
Delaware,Personal Vehicles (Commuting),17.50789359931,Y,2018
District of Columbia,Personal Vehicles (Commuting),3.71923644489,Y,2018
Florida,Personal Vehicles (Commuting),17.36837894022,Y,2018
Georgia,Personal Vehicles (Commuting),17.47830000000,Y,2018
Hawaii,Personal Vehicles (Commuting),17.47830000000,Y,2018
Idaho,Personal Vehicles (Commuting),17.47830000000,Y,2018
Illinois,Personal Vehicles (Commuting),15.07458444779,Y,2018
Indiana,Personal Vehicles (Commuting),17.47830000000,Y,2018
Iowa,Personal Vehicles (Commuting),17.47830000000,Y,2018
Kansas,Personal Vehicles (Commuting),17.47830000000,Y,2018
Kentucky,Personal Vehicles (Commuting),17.47830000000,Y,2018
Louisiana,Personal Vehicles (Commuting),17.47830000000,Y,2018
Maine,Personal Vehicles (Commuting),17.33631750689,Y,2018
Maryland,Personal Vehicles (Commuting),17.50789359931,Y,2018
Massachusetts,Personal Vehicles (Commuting),14.56229248962,Y,2018
Michigan,Personal Vehicles (Commuting),17.47830000000,Y,2018
Minnesota,Personal Vehicles (Commuting),17.94517737734,Y,2018
Mississippi,Personal Vehicles (Commuting),17.47830000000,Y,2018
Missouri,Personal Vehicles (Commuting),17.47830000000,Y,2018
Montana,Personal Vehicles (Commuting),17.47830000000,Y,2018
Nebraska,Personal Vehicles (Commuting),17.47830000000,Y,2018
Nevada,Personal Vehicles (Commuting),17.47830000000,Y,2018
New Hampshire,Personal Vehicles (Commuting),16.76685054836,Y,2018
New Jersey,Personal Vehicles (Commuting),15.96294000000,Y,2018
New Mexico,Personal Vehicles (Commuting),17.47830000000,Y,2018
New York,Personal Vehicles (Commuting),11.97414805774,Y,2018
North Carolina,Personal Vehicles (Commuting),18.55441100055,Y,2018
North Dakota,Personal Vehicles (Commuting),17.47830000000,Y,2018
Ohio,Personal Vehicles (Commuting),14.87808000000,Y,2018
Oklahoma,Personal Vehicles (Commuting),17.47830000000,Y,2018
Ontario,Personal Vehicles (Commuting),17.47830000000,Y,2018
Oregon,Personal Vehicles (Commuting),17.47830000000,Y,2018
Pennsylvania,Personal Vehicles (Commuting),13.37429470720,Y,2018
Rhode Island,Personal Vehicles (Commuting),17.47830000000,Y,2018
South Carolina,Personal Vehicles (Commuting),17.47830000000,Y,2018
South Dakota,Personal Vehicles (Commuting),17.47830000000,Y,2018
Tennessee,Personal Vehicles (Commuting),17.47830000000,Y,2018
Texas,Personal Vehicles (Commuting),17.57282957249,Y,2018
Utah,Personal Vehicles (Commuting),17.47830000000,Y,2018
Vermont,Personal Vehicles (Commuting),19.13142000000,Y,2018
Virginia,Personal Vehicles (Commuting),17.47830000000,Y,2018
Washington,Personal Vehicles (Commuting),17.47830000000,Y,2018
West Virginia,Personal Vehicles (Commuting),17.47830000000,Y,2018
Wisconsin,Personal Vehicles (Commuting),17.47830000000,Y,2018
Wyoming,Personal Vehicles (Commuting),17.47830000000,Y,2018
Canada - All,Personal Vehicles (Commuting),2.82170000000,Y,2018
United States of America,Personal Vehicles (Commuting),2.82170000000,Y,2018
Alabama,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Alaska,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Arizona,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Arkansas,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
California,Personal Vehicles (w/out Commuting),7.26425875739,Y,2018
Canada,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Colorado,Personal Vehicles (w/out Commuting),6.39177304933,Y,2018
Connecticut,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Delaware,Personal Vehicles (w/out Commuting),7.34070800157,Y,2018
District of Columbia,Personal Vehicles (w/out Commuting),1.55940111104,Y,2018
Florida,Personal Vehicles (w/out Commuting),7.28221230827,Y,2018
Georgia,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Hawaii,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Idaho,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Illinois,Personal Vehicles (w/out Commuting),6.32047036661,Y,2018
Indiana,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Iowa,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Kansas,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Kentucky,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Louisiana,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Maine,Personal Vehicles (w/out Commuting),7.26876959348,Y,2018
Maryland,Personal Vehicles (w/out Commuting),7.34070800157,Y,2018
Massachusetts,Personal Vehicles (w/out Commuting),6.10567664199,Y,2018
Michigan,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Minnesota,Personal Vehicles (w/out Commuting),7.52405230339,Y,2018
Mississippi,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Missouri,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Montana,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Nebraska,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Nevada,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
New Hampshire,Personal Vehicles (w/out Commuting),7.03000354002,Y,2018
New Jersey,Personal Vehicles (w/out Commuting),6.69294000000,Y,2018
New Mexico,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
New York,Personal Vehicles (w/out Commuting),5.02051968507,Y,2018
North Carolina,Personal Vehicles (w/out Commuting),7.77949172032,Y,2018
North Dakota,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Ohio,Personal Vehicles (w/out Commuting),6.23808000000,Y,2018
Oklahoma,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Ontario,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Oregon,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Pennsylvania,Personal Vehicles (w/out Commuting),5.60757304216,Y,2018
Rhode Island,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
South Carolina,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
South Dakota,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Tennessee,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Texas,Personal Vehicles (w/out Commuting),7.36793435037,Y,2018
Utah,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Vermont,Personal Vehicles (w/out Commuting),8.02142000000,Y,2018
Virginia,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Washington,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
West Virginia,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Wisconsin,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Wyoming,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Canada - All,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
United States of America,Personal Vehicles (w/out Commuting),7.32830000000,Y,2018
Alabama,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Alaska,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Arizona,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Arkansas,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
California,Personal Vehicles Total (w/Commuting),10.06130021799,Y,2018
Canada,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Colorado,Personal Vehicles Total (w/Commuting),8.85287125946,Y,2018
Connecticut,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Delaware,Personal Vehicles Total (w/Commuting),10.16718559774,Y,2018
District of Columbia,Personal Vehicles Total (w/Commuting),2.15983533385,Y,2018
Florida,Personal Vehicles Total (w/Commuting),10.08616663195,Y,2018
Georgia,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Hawaii,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Idaho,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Illinois,Personal Vehicles Total (w/Commuting),8.75411408118,Y,2018
Indiana,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Iowa,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Kansas,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Kentucky,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Louisiana,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
Maine,Personal Vehicles Total (w/Commuting),10.06754791341,Y,2018
Maryland,Personal Vehicles Total (w/Commuting),10.16718559774,Y,2018
Massachusetts,Personal Vehicles Total (w/Commuting),8.45661584763,Y,2018
Michigan,Personal Vehicles Total (w/Commuting),10.15000000000,Y,2018
