Region,Characteristic,Value (metric tons CO2e/year),Updated?,Year,Source,Notes
District of Columbia,Personal Vehicles (Commuting),0.60,Y,2013,http://traveltrends.transportation.org/Documents/B2_CIA_Role%20Overall%20Travel_web_2.pdf,
District of Columbia,Food*,5.89,Y,2015.0,Per household. Based on numbers derived from CoolClimate Calculator and Cenus numbers of adults and youth/household. See Food tab.,See Regional Averages by Sector workbook
District of Columbia,Waste disposal*,0.55,Y,2015.0,"Based on EPA Warm model, scaled by household size",See Regional Averages by Sector workbook
District of Columbia,Housing Total,6.58,N/A,,,
District of Columbia,Transportation Total,3.66,N/A,,,
District of Columbia,Total,16.13,N/A,,,
California,Household Size,2.94,Y,2009-2013,http://quickfacts.census.gov/qfd/states/34000.html,
California,Electricity,2.00,Y,2014,Calculated in workbook,
California,Other Fuels,2.048357227,Y,2013,https://www.eia.gov/state/seds/seds-data-complete.cfm (2013); American Communities Survey (2013),See Regional Averages by Sector workbook
California,Long Distance travel,1.50,Y,2014,See long distance travel tab. National average,See Regional Averages by Sector workbook
California,Personal Vehicles Total (w/Commuting),10.06130022,Y,2013,See personal vehicles tab.,See Regional Averages by Sector workbook
California,Personal Vehicles (w/out Commuting),7.26,Y,2013,http://traveltrends.transportation.org/Documents/B2_CIA_Role%20Overall%20Travel_web_2.pdf,
California,Personal Vehicles (Commuting),2.80,Y,2013,http://traveltrends.transportation.org/Documents/B2_CIA_Role%20Overall%20Travel_web_2.pdf,
California,Food*,7.746312,Y,2015,Per household. Based on numbers derived from CoolClimate Calculator and Cenus numbers of adults and youth/household. See Food tab.,See Regional Averages by Sector workbook
California,Waste disposal*,0.73915128,Y,2015,"Based on EPA Warm model, scaled by household size",See Regional Averages by Sector workbook
California,Housing Total,4.78,N/A,,,
California,Transportation Total,11.56,N/A,,,
California,Total,24.09,N/A,,,
New Hampshire,Household Size,2.47,Y,2009-2013,http://quickfacts.census.gov/qfd/states/34000.html,
New Hampshire,Electricity,2.17,Y,2014,Calculated in workbook,
New Hampshire,Other Fuels,3.814391597,Y,2013,https://www.eia.gov/state/seds/seds-data-complete.cfm (2013); American Communities Survey (2013),See Regional Averages by Sector workbook
New Hampshire,Long Distance travel,1.50,Y,2014,See long distance travel tab. National average,See Regional Averages by Sector workbook
New Hampshire,Personal Vehicles Total (w/Commuting),9.736847008,Y,2013,See personal vehicles tab.,See Regional Averages by Sector workbook
New Hampshire,Personal Vehicles (w/out Commuting),7.03,Y,2013,http://traveltrends.transportation.org/Documents/B2_CIA_Role%20Overall%20Travel_web_2.pdf,
New Hampshire,Personal Vehicles (Commuting),2.71,Y,2013,http://traveltrends.transportation.org/Documents/B2_CIA_Role%20Overall%20Travel_web_2.pdf,
New Hampshire,Food*,6.568471,Y,2015,Per household. Based on numbers derived from CoolClimate Calculator and Cenus numbers of adults and youth/household. See Food tab.,See Regional Averages by Sector workbook
New Hampshire,Waste disposal*,0.62098764,Y,2015,"Based on EPA Warm model, scaled by household size",See Regional Averages by Sector workbook
New Hampshire,Housing Total,6.60,N/A,,,
New Hampshire,Transportation Total,11.24,N/A,,,
New Hampshire,Total,24.41,N/A,,,
Texas,Household Size,2.82,Y,2009-2013,http://quickfacts.census.gov/qfd/states/34000.html,
Texas,Electricity,7.23,Y,2014,Calculated in workbook,
Texas,Other Fuels,1.243954434,Y,2013,https://www.eia.gov/state/seds/seds-data-complete.cfm (2013); American Communities Survey (2013),See Regional Averages by Sector workbook
Texas,Long Distance travel,1.50,Y,2014,See long distance travel tab. National average,See Regional Averages by Sector workbook
Texas,Personal Vehicles Total (w/Commuting),10.20489522,Y,2013,See personal vehicles tab.,See Regional Averages by Sector workbook
Texas,Personal Vehicles (w/out Commuting),7.37,Y,2013,http://traveltrends.transportation.org/Documents/B2_CIA_Role%20Overall%20Travel_web_2.pdf,
Texas,Personal Vehicles (Commuting),2.84,Y,2013,http://traveltrends.transportation.org/Documents/B2_CIA_Role%20Overall%20Travel_web_2.pdf,
Texas,Food*,7.374864,Y,2015,Per household. Based on numbers derived from CoolClimate Calculator and Cenus numbers of adults and youth/household. See Food tab.,See Regional Averages by Sector workbook
Texas,Waste disposal*,0.70898184,Y,2015,"Based on EPA Warm model, scaled by household size",See Regional Averages by Sector workbook
Texas,Housing Total,9.18,N/A,,,
Texas,Transportation Total,11.70,N/A,,,
Texas,Total,28.26,N/A,,,
