Question ID	Question Text	Section	Group	Question Join Key	Campaign	Cell	Key	Question Updated
10001	"I am familiar with my employer's sustainability and energy reduction efforts"	Basics	Opinions 1 of 2	City of Fort Collins (rev2)_5	City of Fort Collins (rev2)	i4	5	I am familiar with my company's sustainability and energy reduction efforts
10001	"I am familiar with New Belgium's sustainability and energy reduction efforts"	Basics	Opinions 1 of 2	New Belgium Brewery Sustainability Survey_5	New Belgium Brewery Sustainability Survey	i4	5	I am familiar with my company's sustainability and energy reduction efforts
10001	"I am familiar with my employer's sustainability and energy reduction efforts"	Basics	Opinions 1 of 2	Odell Sustainability Survey_5	Odell Sustainability Survey	i4	5	I am familiar with my company's sustainability and energy reduction efforts
10005	"I know what our SEI benefit is, how to use it, and I plan to!"	Basics	Opinions 1 of 2	2015 VEIC Carbon Survey_6	2015 VEIC Carbon Survey	i6	6	I know what our current benefit is and how to use it
10007	“I would like to know more about these savings resources and how others are using them”	Basics	Opinions 1 of 2	2016 Ben & Jerry's Household Carbon Survey_6	2016 Ben & Jerry's Household Carbon Survey	i6	6	I'd like to know more about how others are using their benefit
10023	“I know the about the sustainable Food, Energy, and Transportation opportunities that are available to me and my household"	Basics	Opinions 1 of 2	2016 Middlebury College Household Sustainability Survey_6	2016 Middlebury College Household Sustainability Survey	i6	6	I know about the sustainable opportunities that are available to me and my household
10006	"I typically try to spend the majority of my Wellbeing Reimbursement each year"	Basics	Opinions 1 of 2	Carbon Assessment for LEAD H1_6	Carbon Assessment for LEAD H1	i6	6	I typically try to spend the majority of my Wellbeing Reimbursement each year
10002	"I am interested in making sustainabilty improvements at home and in my community"	Basics	Opinions 1 of 2	City of Fort Collins (rev2)_6	City of Fort Collins (rev2)	i5	6	I am interested in making sustainability improvements at home and in my community
10002	"I am interested in making sustainability improvements at home and in my community"	Basics	Opinions 1 of 2	New Belgium Brewery Sustainability Survey_6	New Belgium Brewery Sustainability Survey	i5	6	I am interested in making sustainability improvements at home and in my community
10002	"I am interested in making sustainabilty improvements at home and in my community"	Basics	Opinions 1 of 2	Odell Sustainability Survey_6	Odell Sustainability Survey	i5	6	I am interested in making sustainability improvements at home and in my community
10007	"I'd like to know more about how others are using the SEI benefit to reduce their household carbon impact"	Basics	Opinions 1 of 2	2015 VEIC Carbon Survey_7	2015 VEIC Carbon Survey	i7	7	I'd like to know more about how others are using their benefit
10003	"I don't know where to start"	Basics	Opinions 2 of 2	2016 Ben & Jerry's Household Carbon Survey_7	2016 Ben & Jerry's Household Carbon Survey	i7	7	I don't know where to start
10007	“I would like to know more about these savings resources and how others are using them”	Basics	Opinions 1 of 2	2016 Middlebury College Household Sustainability Survey_7	2016 Middlebury College Household Sustainability Survey	i7	7	I'd like to know more about how others are using their benefit
10003	"I don't know where to start"	Basics	Opinions 2 of 2	Carbon Assessment for LEAD H1_7	Carbon Assessment for LEAD H1	i7	7	I don't know where to start
10003	"I don't know where to start"	Basics	Opinions 2 of 2	City of Fort Collins (rev2)_7	City of Fort Collins (rev2)	i6	7	I don't know where to start
10003	"I don't know where to start"	Basics	Opinions 2 of 2	New Belgium Brewery Sustainability Survey_7	New Belgium Brewery Sustainability Survey	i6	7	I don't know where to start
10003	"I don't know where to start"	Basics	Opinions 2 of 2	Odell Sustainability Survey_7	Odell Sustainability Survey	i6	7	I don't know where to start
10003	"I don't know where to start"	Basics	Opinions 2 of 2	2015 VEIC Carbon Survey_8	2015 VEIC Carbon Survey	i8	8	I don't know where to start
10004	"I have some ideas, but I'm unsure of the next steps"	Basics	Opinions 2 of 2	2016 Ben & Jerry's Household Carbon Survey_8	2016 Ben & Jerry's Household Carbon Survey	i8	8	I have some ideas, but I'm unsure of the next steps
10003	"I don't know where to start"	Basics	Opinions 2 of 2	2016 Middlebury College Household Sustainability Survey_8	2016 Middlebury College Household Sustainability Survey	i8	8	I don't know where to start
10004	"I have some ideas, but I'm unsure of the next steps"	Basics	Opinions 2 of 2	Carbon Assessment for LEAD H1_8	Carbon Assessment for LEAD H1	i8	8	I have some ideas, but I'm unsure of the next steps
10004	"I have some ideas, but I'm unsure of the next steps"	Basics	Opinions 2 of 2	City of Fort Collins (rev2)_8	City of Fort Collins (rev2)	i7	8	I have some ideas, but I'm unsure of the next steps
10004	"I have some ideas, but I'm unsure of the next steps"	Basics	Opinions 2 of 2	New Belgium Brewery Sustainability Survey_8	New Belgium Brewery Sustainability Survey	i7	8	I have some ideas, but I'm unsure of the next steps
10004	"I have some ideas, but I'm unsure of the next steps"	Basics	Opinions 2 of 2	Odell Sustainability Survey_8	Odell Sustainability Survey	i7	8	I have some ideas, but I'm unsure of the next steps
10004	"I have some ideas, but I'm unsure of the next steps"	Basics	Opinions 2 of 2	2015 VEIC Carbon Survey_9	2015 VEIC Carbon Survey	i9	9	I have some ideas, but I'm unsure of the next steps
10011	"It takes too much time"	Basics	Opinions 2 of 2	2016 Ben & Jerry's Household Carbon Survey_9	2016 Ben & Jerry's Household Carbon Survey	i9	9	It takes too much time
10004	"I have some ideas, but I'm unsure of the next steps"	Basics	Opinions 2 of 2	2016 Middlebury College Household Sustainability Survey_9	2016 Middlebury College Household Sustainability Survey	i9	9	I have some ideas, but I'm unsure of the next steps
10011	"It takes too much time"	Basics	Opinions 2 of 2	Carbon Assessment for LEAD H1_9	Carbon Assessment for LEAD H1	i9	9	It takes too much time
10011	"It takes too much time"	Basics	Opinions 2 of 2	City of Fort Collins (rev2)_9	City of Fort Collins (rev2)	i8	9	It takes too much time
10011	"It takes too much time"	Basics	Opinions 2 of 2	New Belgium Brewery Sustainability Survey_9	New Belgium Brewery Sustainability Survey	i8	9	It takes too much time
10011	"It takes too much time"	Basics	Opinions 2 of 2	Odell Sustainability Survey_9	Odell Sustainability Survey	i8	9	It takes too much time
10011	"It takes too much time"	Basics	Opinions 2 of 2	2015 VEIC Carbon Survey_10	2015 VEIC Carbon Survey	i10	10	It takes too much time
10010	"It is too expensive"	Basics	Opinions 2 of 2	2016 Ben & Jerry's Household Carbon Survey_10	2016 Ben & Jerry's Household Carbon Survey	i10	10	It is too expensive
10011	"It takes too much time"	Basics	Opinions 2 of 2	2016 Middlebury College Household Sustainability Survey_10	2016 Middlebury College Household Sustainability Survey	i10	10	It takes too much time
10010	"It is too expensive"	Basics	Opinions 2 of 2	Carbon Assessment for LEAD H1_10	Carbon Assessment for LEAD H1	i10	10	It is too expensive
10010	"It is too expensive"	Basics	Opinions 2 of 2	City of Fort Collins (rev2)_10	City of Fort Collins (rev2)	i9	10	It is too expensive
10010	"It is too expensive"	Basics	Opinions 2 of 2	New Belgium Brewery Sustainability Survey_10	New Belgium Brewery Sustainability Survey	i9	10	It is too expensive
10010	"It is too expensive"	Basics	Opinions 2 of 2	Odell Sustainability Survey_10	Odell Sustainability Survey	i9	10	It is too expensive
10010	"It is too expensive"	Basics	Opinions 2 of 2	2015 VEIC Carbon Survey_11	2015 VEIC Carbon Survey	i11	11	It is too expensive
10009	"It is too disruptive or inconvenient"	Basics	Opinions 2 of 2	2016 Ben & Jerry's Household Carbon Survey_11	2016 Ben & Jerry's Household Carbon Survey	i11	11	It is too disruptive or inconvenient
10010	"It is too expensive"	Basics	Opinions 2 of 2	2016 Middlebury College Household Sustainability Survey_11	2016 Middlebury College Household Sustainability Survey	i11	11	It is too expensive
10009	"It is too disruptive or inconvenient"	Basics	Opinions 2 of 2	Carbon Assessment for LEAD H1_11	Carbon Assessment for LEAD H1	i11	11	It is too disruptive or inconvenient
10009	"It is too disruptive or inconvenient"	Basics	Opinions 2 of 2	City of Fort Collins (rev2)_11	City of Fort Collins (rev2)	i10	11	It is too disruptive or inconvenient
10009	"It is too disruptive or inconvenient"	Basics	Opinions 2 of 2	New Belgium Brewery Sustainability Survey_11	New Belgium Brewery Sustainability Survey	i10	11	It is too disruptive or inconvenient
10009	"It is too disruptive or inconvenient"	Basics	Opinions 2 of 2	Odell Sustainability Survey_11	Odell Sustainability Survey	i10	11	It is too disruptive or inconvenient
10009	"It is too disruptive or inconvenient"	Basics	Opinions 2 of 2	2015 VEIC Carbon Survey_12	2015 VEIC Carbon Survey	i12	12	It is too disruptive or inconvenient
10082	In 2015, how many people lived in your household?	Food & Waste	Food	2016 Ben & Jerry's Household Carbon Survey_12	2016 Ben & Jerry's Household Carbon Survey	i12	12	In 2015, how many people lived in your household?
10009	"It is too disruptive or inconvenient"	Basics	Opinions 2 of 2	2016 Middlebury College Household Sustainability Survey_12	2016 Middlebury College Household Sustainability Survey	i12	12	It is too disruptive or inconvenient
10082	In 2015, how many people lived in your household?	Food & Waste	Food	Carbon Assessment for LEAD H1_12	Carbon Assessment for LEAD H1	i12	12	In 2015, how many people lived in your household?
10082	In the past 12 months, how many people lived in your household?	Food & Waste	Food	City of Fort Collins (rev2)_12	City of Fort Collins (rev2)	i17	12	In 2015, how many people lived in your household?
10082	In the last 12 months, how many people lived in your household?	Food & Waste	Food	New Belgium Brewery Sustainability Survey_12	New Belgium Brewery Sustainability Survey	i17	12	In 2015, how many people lived in your household?
10082	In the last 12 months, how many people lived in your household?	Food & Waste	Food	Odell Sustainability Survey_12	Odell Sustainability Survey	i24	12	In 2015, how many people lived in your household?
10082	In 2015, how many people lived in your household?	Food & Waste	Food	2015 VEIC Carbon Survey_13	2015 VEIC Carbon Survey	i13	13	In 2015, how many people lived in your household?
10079	How often does your household eat meat?	Food & Waste	Food	2016 Ben & Jerry's Household Carbon Survey_13	2016 Ben & Jerry's Household Carbon Survey	i13	13	How often does your household eat meat?
10082	In 2015, how many people lived in your household?	Food & Waste	Food	2016 Middlebury College Household Sustainability Survey_13	2016 Middlebury College Household Sustainability Survey	i13	13	In 2015, how many people lived in your household?
10079	How often does your household eat meat?	Food & Waste	Food	Carbon Assessment for LEAD H1_13	Carbon Assessment for LEAD H1	i13	13	How often does your household eat meat?
10079	How often does your household eat meat?	Food & Waste	Food	City of Fort Collins (rev2)_13	City of Fort Collins (rev2)	i18	13	How often does your household eat meat?
10079	How often does your household eat meat?	Food & Waste	Food	New Belgium Brewery Sustainability Survey_13	New Belgium Brewery Sustainability Survey	i18	13	How often does your household eat meat?
10079	How often does your household eat meat?	Food & Waste	Food	Odell Sustainability Survey_13	Odell Sustainability Survey	i25	13	How often does your household eat meat?
10079	How often does your household eat meat?	Food & Waste	Food	2015 VEIC Carbon Survey_14	2015 VEIC Carbon Survey	i14	14	How often does your household eat meat?
10118	What percent of the food your household eats is "local?"	Food & Waste	Food	2016 Ben & Jerry's Household Carbon Survey_14	2016 Ben & Jerry's Household Carbon Survey	i14	14	What percent of the food your household eats is "local?"
10079	How often does your household eat meat?	Food & Waste	Food	2016 Middlebury College Household Sustainability Survey_14	2016 Middlebury College Household Sustainability Survey	i14	14	How often does your household eat meat?
10118	What percent of the food your household eats is "local?"	Food & Waste	Food	Carbon Assessment for LEAD H1_14	Carbon Assessment for LEAD H1	i14	14	What percent of the food your household eats is "local?"
10118	What percent of the food your household eats is "local?"	Food & Waste	Food	City of Fort Collins (rev2)_14	City of Fort Collins (rev2)	i19	14	What percent of the food your household eats is "local?"
10118	What percent of the food your household eats is "local?"	Food & Waste	Food	New Belgium Brewery Sustainability Survey_14	New Belgium Brewery Sustainability Survey	i19	14	What percent of the food your household eats is "local?"
10118	What percent of the food your household eats is "local?"	Food & Waste	Food	Odell Sustainability Survey_14	Odell Sustainability Survey	i26	14	What percent of the food your household eats is "local?"
10118	What percent of the food your household eats is "local?"	Food & Waste	Food	2015 VEIC Carbon Survey_15	2015 VEIC Carbon Survey	i15	15	What percent of the food your household eats is "local?"
10119	What percent of the food your household eats is certified organic?	Food & Waste	Food	2016 Ben & Jerry's Household Carbon Survey_15	2016 Ben & Jerry's Household Carbon Survey	i15	15	What percent of the food your household eats is certified organic?
10118	What percent of the food your household eats is "local?"	Food & Waste	Food	2016 Middlebury College Household Sustainability Survey_15	2016 Middlebury College Household Sustainability Survey	i15	15	What percent of the food your household eats is "local?"
10119	What percent of the food your household eats is certified organic?	Food & Waste	Food	Carbon Assessment for LEAD H1_15	Carbon Assessment for LEAD H1	i15	15	What percent of the food your household eats is certified organic?
10119	What percent of the food your household eats is certified organic?	Food & Waste	Food	City of Fort Collins (rev2)_15	City of Fort Collins (rev2)	i20	15	What percent of the food your household eats is certified organic?
10119	What percent of the food your household eats is certified organic?	Food & Waste	Food	New Belgium Brewery Sustainability Survey_15	New Belgium Brewery Sustainability Survey	i20	15	What percent of the food your household eats is certified organic?
10119	What percent of the food your household eats is certified organic?	Food & Waste	Food	Odell Sustainability Survey_15	Odell Sustainability Survey	i27	15	What percent of the food your household eats is certified organic?
10119	What percent of the food your household eats is certified organic?	Food & Waste	Food	2015 VEIC Carbon Survey_16	2015 VEIC Carbon Survey	i16	16	What percent of the food your household eats is certified organic?
10078	How often does your household compost?	Food & Waste	Waste	2016 Ben & Jerry's Household Carbon Survey_16	2016 Ben & Jerry's Household Carbon Survey	i16	16	How often does your household compost?
10119	What percent of the food your household eats is certified organic?	Food & Waste	Food	2016 Middlebury College Household Sustainability Survey_16	2016 Middlebury College Household Sustainability Survey	i16	16	What percent of the food your household eats is certified organic?
10078	How often does your household compost?	Food & Waste	Waste	Carbon Assessment for LEAD H1_16	Carbon Assessment for LEAD H1	i16	16	How often does your household compost?
10078	How often does your household compost?	Food & Waste	Waste	City of Fort Collins (rev2)_16	City of Fort Collins (rev2)	i21	16	How often does your household compost?
10078	How often does your household compost?	Food & Waste	Waste	New Belgium Brewery Sustainability Survey_16	New Belgium Brewery Sustainability Survey	i21	16	How often does your household compost?
10078	How often does your household compost?	Food & Waste	Waste	Odell Sustainability Survey_16	Odell Sustainability Survey	i28	16	How often does your household compost?
10078	How often does your household compost?	Food & Waste	Waste	2015 VEIC Carbon Survey_17	2015 VEIC Carbon Survey	i17	17	How often does your household compost?
10080	How often does your household recycle?	Food & Waste	Waste	2016 Ben & Jerry's Household Carbon Survey_17	2016 Ben & Jerry's Household Carbon Survey	i17	17	How often does your household recycle?
10078	How often does your household compost?	Food & Waste	Waste	2016 Middlebury College Household Sustainability Survey_17	2016 Middlebury College Household Sustainability Survey	i17	17	How often does your household compost?
10080	How often does your household recycle?	Food & Waste	Waste	Carbon Assessment for LEAD H1_17	Carbon Assessment for LEAD H1	i17	17	How often does your household recycle?
10080	How often does your household recycle?	Food & Waste	Waste	City of Fort Collins (rev2)_17	City of Fort Collins (rev2)	i22	17	How often does your household recycle?
10080	How often does your household recycle?	Food & Waste	Waste	New Belgium Brewery Sustainability Survey_17	New Belgium Brewery Sustainability Survey	i22	17	How often does your household recycle?
10080	How often does your household recycle?	Food & Waste	Waste	Odell Sustainability Survey_17	Odell Sustainability Survey	i29	17	How often does your household recycle?
10080	How often does your household recycle?	Food & Waste	Waste	2015 VEIC Carbon Survey_18	2015 VEIC Carbon Survey	i18	18	How often does your household recycle?
10038	Are there sustainable Food & Waste actions you've taken in the past that you'd like to share? If so, please do!	Food & Waste	Food & Waste Acts	2016 Ben & Jerry's Household Carbon Survey_18	2016 Ben & Jerry's Household Carbon Survey	i18	18	Are there sustainable Food & Waste actions you've taken in the past that you'd like to share? If so, please do!
10080	How often does your household recycle?	Food & Waste	Waste	2016 Middlebury College Household Sustainability Survey_18	2016 Middlebury College Household Sustainability Survey	i18	18	How often does your household recycle?
10099	What do you know about your household electricity usage in 2015?	Home Energy	Electricity	Carbon Assessment for LEAD H1_18	Carbon Assessment for LEAD H1	i18	18	What do you know about your household electricity usage in 2015?
10099	What do you know about your household electricity usage in the last 12 months?	Home Energy	Electricity	City of Fort Collins (rev2)_18	City of Fort Collins (rev2)	i23	18	What do you know about your household electricity usage in 2015?
10099	What do you know about your household electricity usage in the last 12 months?	Home Energy	Electricity	New Belgium Brewery Sustainability Survey_18	New Belgium Brewery Sustainability Survey	i33	18	What do you know about your household electricity usage in 2015?
10099	What do you know about your household electricity usage in the last 12 months?	Home Energy	Electricity	Odell Sustainability Survey_18	Odell Sustainability Survey	i30	18	What do you know about your household electricity usage in 2015?
10099	What do you know about your household electricity usage in 2015?	Home Energy	Electricity	2015 VEIC Carbon Survey_19	2015 VEIC Carbon Survey	i19	19	What do you know about your household electricity usage in 2015?
10038	Are there sustainable Food & Waste actions you've taken in the past that you'd like to share? If so, please do!	Food & Waste	Food & Waste Acts	2016 Middlebury College Household Sustainability Survey_19	2016 Middlebury College Household Sustainability Survey	i19	19	Are there sustainable Food & Waste actions you've taken in the past that you'd like to share? If so, please do!
10066	How many kWh did you use in 2015 (including any renewable energy)?	Home Energy	Electricity	Carbon Assessment for LEAD H1_19	Carbon Assessment for LEAD H1	i19	19	How many kWh did you use in 2015 (including any renewable energy)?
10066	How many kWh did you use in the last 12 months (including any renewable energy)?	Home Energy	Electricity	City of Fort Collins (rev2)_19	City of Fort Collins (rev2)	i24	19	How many kWh did you use in 2015 (including any renewable energy)?
10066	How many kWh did you use in the last 12 months (including any renewable energy)?	Home Energy	Electricity	New Belgium Brewery Sustainability Survey_19	New Belgium Brewery Sustainability Survey	i34	19	How many kWh did you use in 2015 (including any renewable energy)?
10066	How many kWh did you use in the last 12 months (including any renewable energy)?	Home Energy	Electricity	Odell Sustainability Survey_19	Odell Sustainability Survey	i31	19	How many kWh did you use in 2015 (including any renewable energy)?
10066	How many kWh did you use in 2015 (including any renewable energy)?	Home Energy	Electricity	2015 VEIC Carbon Survey_20	2015 VEIC Carbon Survey	i20	20	How many kWh did you use in 2015 (including any renewable energy)?
10099	What do you know about your household electricity usage in 2015?	Home Energy	Electricity	2016 Ben & Jerry's Household Carbon Survey_20	2016 Ben & Jerry's Household Carbon Survey	i20	20	What do you know about your household electricity usage in 2015?
10136	What was your 2015 average monthly electric bill?	Home Energy	Electricity	Carbon Assessment for LEAD H1_20	Carbon Assessment for LEAD H1	i20	20	What was your 2015 average monthly electric bill?
10136	What was your average monthly electric bill over the last 12 months?	Home Energy	Electricity	City of Fort Collins (rev2)_20	City of Fort Collins (rev2)	i25	20	What was your 2015 average monthly electric bill?
10136	What was your average monthly electric bill over the last 12 months?	Home Energy	Electricity	New Belgium Brewery Sustainability Survey_20	New Belgium Brewery Sustainability Survey	i35	20	What was your 2015 average monthly electric bill?
10136	What was your average monthly electric bill over the last 12 months?	Home Energy	Electricity	Odell Sustainability Survey_20	Odell Sustainability Survey	i32	20	What was your 2015 average monthly electric bill?
10136	What was your 2015 average monthly electric bill?	Home Energy	Electricity	2015 VEIC Carbon Survey_21	2015 VEIC Carbon Survey	i21	21	What was your 2015 average monthly electric bill?
10066	How many kWh did you use in 2015 (including any renewable energy)?	Home Energy	Electricity	2016 Ben & Jerry's Household Carbon Survey_21	2016 Ben & Jerry's Household Carbon Survey	i21	21	How many kWh did you use in 2015 (including any renewable energy)?
10099	What do you know about your household electricity usage in 2015?	Home Energy	Electricity	2016 Middlebury College Household Sustainability Survey_21	2016 Middlebury College Household Sustainability Survey	i21	21	What do you know about your household electricity usage in 2015?
10094	Was any of your electricity renewable?	Home Energy	Electricity	Carbon Assessment for LEAD H1_21	Carbon Assessment for LEAD H1	i21	21	Was any of your electricity renewable?
10094	Was any of your electricity renewable?	Home Energy	Electricity	City of Fort Collins (rev2)_21	City of Fort Collins (rev2)	i26	21	Was any of your electricity renewable?
10094	Was any of your electricity renewable?	Home Energy	Electricity	New Belgium Brewery Sustainability Survey_21	New Belgium Brewery Sustainability Survey	i36	21	Was any of your electricity renewable?
10094	Was any of your electricity renewable?	Home Energy	Electricity	Odell Sustainability Survey_21	Odell Sustainability Survey	i33	21	Was any of your electricity renewable?
10094	Was any of your electricity renewable?	Home Energy	Electricity	2015 VEIC Carbon Survey_22	2015 VEIC Carbon Survey	i22	22	Was any of your electricity renewable?
10136	What was your 2015 average monthly electric bill?	Home Energy	Electricity	2016 Ben & Jerry's Household Carbon Survey_22	2016 Ben & Jerry's Household Carbon Survey	i22	22	What was your 2015 average monthly electric bill?
10066	How many kWh did you use in 2015 (including any renewable energy)?	Home Energy	Electricity	2016 Middlebury College Household Sustainability Survey_22	2016 Middlebury College Household Sustainability Survey	i22	22	How many kWh did you use in 2015 (including any renewable energy)?
10067	How many kWh reported above came from on-site, premium purchase or group net-metered renewables?	Home Energy	Electricity	Carbon Assessment for LEAD H1_22	Carbon Assessment for LEAD H1	i22	22	How many kWh reported above came from on-site, premium purchase or group net-metered renewables?
10067	How many kWh reported above came from on-site, premium purchase or group net-metered renewables?	Home Energy	Electricity	City of Fort Collins (rev2)_22	City of Fort Collins (rev2)	i27	22	How many kWh reported above came from on-site, premium purchase or group net-metered renewables?
10067	How many kWh reported above came from on-site, premium purchase or group net-metered renewables?	Home Energy	Electricity	New Belgium Brewery Sustainability Survey_22	New Belgium Brewery Sustainability Survey	i37	22	How many kWh reported above came from on-site, premium purchase or group net-metered renewables?
10067	How many kWh reported above came from on-site, premium purchase or group net-metered renewables?	Home Energy	Electricity	Odell Sustainability Survey_22	Odell Sustainability Survey	i34	22	How many kWh reported above came from on-site, premium purchase or group net-metered renewables?
10067	How many kWh reported above came from on-site, premium purchase or group net-metered renewables?	Home Energy	Electricity	2015 VEIC Carbon Survey_23	2015 VEIC Carbon Survey	i23	23	How many kWh reported above came from on-site, premium purchase or group net-metered renewables?
10094	Was any of your electricity renewable?	Home Energy	Electricity	2016 Ben & Jerry's Household Carbon Survey_23	2016 Ben & Jerry's Household Carbon Survey	i23	23	Was any of your electricity renewable?
10136	What was your 2015 average monthly electric bill?	Home Energy	Electricity	2016 Middlebury College Household Sustainability Survey_23	2016 Middlebury College Household Sustainability Survey	i23	23	What was your 2015 average monthly electric bill?
10128	What percentage of your electricity consumption above came from renewables?	Home Energy	Electricity	Carbon Assessment for LEAD H1_23	Carbon Assessment for LEAD H1	i23	23	What percentage of your electricity consumption above came from renewables?
10128	What percentage of your electricity consumption above came from renewables?	Home Energy	Electricity	City of Fort Collins (rev2)_23	City of Fort Collins (rev2)	i28	23	What percentage of your electricity consumption above came from renewables?
10128	What percentage of your electricity consumption above came from renewables?	Home Energy	Electricity	New Belgium Brewery Sustainability Survey_23	New Belgium Brewery Sustainability Survey	i38	23	What percentage of your electricity consumption above came from renewables?
10128	What percentage of your electricity consumption above came from renewables?	Home Energy	Electricity	Odell Sustainability Survey_23	Odell Sustainability Survey	i35	23	What percentage of your electricity consumption above came from renewables?
10128	What percentage of your electricity consumption above came from renewables?	Home Energy	Electricity	2015 VEIC Carbon Survey_24	2015 VEIC Carbon Survey	i24	24	What percentage of your electricity consumption above came from renewables?
10067	How many kWh reported above came from on-site, premium purchase or group net-metered renewables?	Home Energy	Electricity	2016 Ben & Jerry's Household Carbon Survey_24	2016 Ben & Jerry's Household Carbon Survey	i24	24	How many kWh reported above came from on-site, premium purchase or group net-metered renewables?
10094	Was any of your electricity renewable?	Home Energy	Electricity	2016 Middlebury College Household Sustainability Survey_24	2016 Middlebury College Household Sustainability Survey	i24	24	Was any of your electricity renewable?
10143	Which fuels did your household use last year?	Home Energy	Other Fuels	Carbon Assessment for LEAD H1_24	Carbon Assessment for LEAD H1	i24	24	Which fuels did your household use last year?
10143	Which fuels did your household use in the last 12 months?	Home Energy	Other Fuels	City of Fort Collins (rev2)_24	City of Fort Collins (rev2)	i29	24	Which fuels did your household use last year?
10143	Which fuels did your household use in the last 12 months?	Home Energy	Other Fuels	New Belgium Brewery Sustainability Survey_24	New Belgium Brewery Sustainability Survey	i39	24	Which fuels did your household use last year?
10143	Which fuels did your household use in the last 12 months?	Home Energy	Other Fuels	Odell Sustainability Survey_24	Odell Sustainability Survey	i36	24	Which fuels did your household use last year?
10143	Which fuels did your household use last year?	Home Energy	Other Fuels	2015 VEIC Carbon Survey_25	2015 VEIC Carbon Survey	i25	25	Which fuels did your household use last year?
10128	What percentage of your electricity consumption above came from renewables?	Home Energy	Electricity	2016 Ben & Jerry's Household Carbon Survey_25	2016 Ben & Jerry's Household Carbon Survey	i25	25	What percentage of your electricity consumption above came from renewables?
